"","date","code","description","type","issuer","listing_date","maturity_date","interest","interest_type","interest_freq","originated_amt","sector","total","mature"
"11",2023-01-31,"SIPPLN03DCN2","SUKUK IJARAH BERKELANJUTAN III PLN TAHAP II TAHUN 2018 SERI D","SUKUK","PERUSAHAAN LISTRIK NEGARA (PERSERO), PT",2018-10-11,2038-10-10,9.65,"FIXED","3 MONTHS",5e+10,"ENERGY",5e+10,19.9972621492129
"12",2023-01-31,"SIPPLN03DCN3","SUKUK IJARAH BERKELANJUTAN III PLN TAHAP III TAHUN 2019 SERI D","SUKUK","PERUSAHAAN LISTRIK NEGARA (PERSERO), PT",2019-02-20,2029-02-19,9.6,"FIXED","3 MONTHS",4.5e+10,"ENERGY",4.5e+10,9.99863107460643
"13",2023-01-31,"SIPPLN03DCN4","SUKUK IJARAH BERKELANJUTAN III PLN TAHAP IV TAHUN 2019 SERI D","SUKUK","PERUSAHAAN LISTRIK NEGARA (PERSERO), PT",2019-08-02,2034-08-01,9.5,"FIXED","3 MONTHS",4.9e+10,"ENERGY",4.9e+10,14.9979466119097
"14",2023-01-31,"SIPPLN03DCN5","SUKUK IJARAH BERKELANJUTAN III PLN TAHAP V TAHUN 2019 SERI D","SUKUK","PERUSAHAAN LISTRIK NEGARA (PERSERO), PT",2019-10-02,2034-10-01,9.4,"FIXED","3 MONTHS",1.35e+11,"ENERGY",1.35e+11,14.9979466119097
"15",2023-01-31,"SIPPLN03DCN6","SUKUK IJARAH BERKELANJUTAN III PLN TAHAP VI TAHUN 2020 SERI D","SUKUK","PERUSAHAAN LISTRIK NEGARA (PERSERO), PT",2020-02-19,2040-02-18,9.05,"FIXED","3 MONTHS",6.25e+10,"ENERGY",6.25e+10,19.9972621492129
"16",2023-01-31,"SIPPLN03ECN1","SUKUK IJARAH BKLJ III PLN THP I TAHUN 2018 SERI E","SUKUK","PERUSAHAAN LISTRIK NEGARA (PERSERO), PT",2018-07-11,2038-07-10,9,"FIXED","3 MONTHS",1.1e+11,"ENERGY",1.1e+11,19.9972621492129
"17",2023-01-31,"SIPPLN03ECN3","SUKUK IJARAH BERKELANJUTAN III PLN TAHAP III TAHUN 2019 SERI E","SUKUK","PERUSAHAAN LISTRIK NEGARA (PERSERO), PT",2019-02-20,2034-02-19,9.8,"FIXED","3 MONTHS",6e+10,"ENERGY",6e+10,14.9979466119097
"18",2023-01-31,"SIPPLN03ECN4","SUKUK IJARAH BERKELANJUTAN III PLN TAHAP IV TAHUN 2019 SERI E","SUKUK","PERUSAHAAN LISTRIK NEGARA (PERSERO), PT",2019-08-02,2039-08-01,9.975,"FIXED","3 MONTHS",5.39e+11,"ENERGY",5.39e+11,19.9972621492129
"19",2023-01-31,"SIPPLN03ECN5","SUKUK IJARAH BERKELANJUTAN III PLN TAHAP V TAHUN 2019 SERI E","SUKUK","PERUSAHAAN LISTRIK NEGARA (PERSERO), PT",2019-10-02,2039-10-01,9.9,"FIXED","3 MONTHS",5.54e+11,"ENERGY",5.54e+11,19.9972621492129
"20",2023-01-31,"SIPPLN03FCN3","SUKUK IJARAH BERKELANJUTAN III PLN TAHAP III TAHUN 2019 SERI F","SUKUK","PERUSAHAAN LISTRIK NEGARA (PERSERO), PT",2019-02-20,2039-02-19,9.95,"FIXED","3 MONTHS",2.8e+10,"ENERGY",2.8e+10,19.9972621492129
"21",2023-01-31,"SIPPLN04ACN1","SUKUK IJARAH BERKELANJUTAN IV PLN TAHAP I TAHUN 2020 SERI A","SUKUK","PERUSAHAAN LISTRIK NEGARA (PERSERO), PT",2020-09-09,2025-09-08,6.7,"FIXED","3 MONTHS",3.9e+10,"ENERGY",3.9e+10,4.99657768651609
"22",2023-01-31,"SIPPLN04BCN1","SUKUK IJARAH BERKELANJUTAN IV PLN TAHAP I TAHUN 2020 SERI B","SUKUK","PERUSAHAAN LISTRIK NEGARA (PERSERO), PT",2020-09-09,2027-09-08,7.25,"FIXED","3 MONTHS",3.5e+10,"ENERGY",3.5e+10,6.99520876112252
"23",2023-01-31,"SIPPLN04CCN1","SUKUK IJARAH BERKELANJUTAN IV PLN TAHAP I TAHUN 2020 SERI C","SUKUK","PERUSAHAAN LISTRIK NEGARA (PERSERO), PT",2020-09-09,2030-09-08,7.9,"FIXED","3 MONTHS",2e+11,"ENERGY",2e+11,9.9958932238193
"24",2023-01-31,"SIPPLN04DCN1","SUKUK IJARAH BERKELANJUTAN IV PLN TAHAP I TAHUN 2020 SERI D","SUKUK","PERUSAHAAN LISTRIK NEGARA (PERSERO), PT",2020-09-09,2035-09-08,8.65,"FIXED","3 MONTHS",5.6e+10,"ENERGY",5.6e+10,14.9952087611225
"25",2023-01-31,"SIPPLN04ECN1","SUKUK IJARAH BERKELANJUTAN IV PLN TAHAP I TAHUN 2020 SERI E","SUKUK","PERUSAHAAN LISTRIK NEGARA (PERSERO), PT",2020-09-09,2040-09-08,8.86,"FIXED","3 MONTHS",4.65e+10,"ENERGY",4.65e+10,19.9972621492129
"26",2023-01-31,"SIPTPN02A","SUKUK IJARAH II TAHUN 2019 PT PERKEBUNAN NUSANTARA III (PERSERO) SERI A","SUKUK","PERKEBUNAN NUSANTARA III (PERSERO), PT",2023-01-31,2025-08-21,11.2,"FIXED","3 MONTHS",1e+10,"PLANTATION",1e+10,2.55441478439425
"27",2023-01-31,"SIPTPN02C","SUKUK IJARAH II TAHUN 2019 PT PERKEBUNAN NUSANTARA III (PERSERO) SERI C","SUKUK","PERKEBUNAN NUSANTARA III (PERSERO), PT",2023-01-31,2025-08-22,11.2,"FIXED","3 MONTHS",1.5e+11,"PLANTATION",1.5e+11,2.55715263518138
"28",2023-01-31,"SIPTPN02D","SUKUK IJARAH II TAHUN 2019 PT PERKEBUNAN NUSANTARA III (PERSERO) SERI D","SUKUK","PERKEBUNAN NUSANTARA III (PERSERO), PT",2023-01-31,2023-02-21,11.2,"FIXED","3 MONTHS",4e+10,"PLANTATION",4e+10,0.0574948665297741
"29",2023-01-31,"SIPTPN02E","SUKUK IJARAH II TAHUN 2019 PT PERKEBUNAN NUSANTARA III (PERSERO) SERI E","SUKUK","PERKEBUNAN NUSANTARA III (PERSERO), PT",2023-01-31,2025-08-23,11.2,"FIXED","3 MONTHS",2e+11,"PLANTATION",2e+11,2.55989048596851
"30",2023-01-31,"SIPTPN02F","SUKUK IJARAH II TAHUN 2019 PT PERKEBUNAN NUSANTARA III (PERSERO) SERI F","SUKUK","PERKEBUNAN NUSANTARA III (PERSERO), PT",2023-01-31,2024-09-03,11.6,"Fixed","3 MONTHS",1.05e+11,"PLANTATION",1.05e+11,1.59069130732375
"31",2023-01-31,"SIPTPN02G","SUKUK IJARAH II TAHUN 2019 PT PERKEBUNAN NUSANTARA III (PERSERO) SERI G","SUKUK","PERKEBUNAN NUSANTARA III (PERSERO), PT",2023-01-31,2023-02-21,11.2,"FIXED","3 MONTHS",4.65e+11,"PLANTATION",4.65e+11,0.0574948665297741
"32",2023-01-31,"SIPTPN02H","SUKUK IJARAH II TAHUN 2019 PT PERKEBUNAN NUSANTARA III (PERSERO) SERI H","SUKUK","PERKEBUNAN NUSANTARA III (PERSERO), PT",2023-01-31,2023-02-21,11.2,"FIXED","3 MONTHS",1e+11,"PLANTATION",1e+11,0.0574948665297741
"33",2023-01-31,"SISGRO01ACN1","SUKUK IJARAH BERKELANJUTAN I SAMPOERNA AGRO TAHAP I TAHUN 2020 SERI A","SUKUK","PT. SAMPOERNA AGRO, Tbk",2020-03-04,2023-03-03,9.35,"FIXED","3 MONTHS",1.75e+11,"PLANTATION",1.75e+11,2.99520876112252
"34",2023-01-31,"SISGRO01ACN2","SUKUK IJARAH BERKELANJUTAN I SAMPOERNA AGRO TAHAP II TAHUN 2021 SERI A","SUKUK","PT. SAMPOERNA AGRO, Tbk",2021-03-18,2024-03-17,9.45,"FIXED","3 MONTHS",2.36635e+11,"PLANTATION",2.36635e+11,2.99794661190965
"35",2023-01-31,"SISGRO01ACN3","SUKUK IJARAH BERKELANJUTAN I SAMPOERNA AGRO TAHAP III TAHUN 2022 SERI A","SUKUK","PT. SAMPOERNA AGRO, Tbk",2022-03-04,2025-03-02,7.15,"FIXED","3 MONTHS",7.5e+10,"PLANTATION",7.5e+10,2.99520876112252
"36",2023-01-31,"SISGRO01BCN1","SUKUK IJARAH BERKELANJUTAN I SAMPOERNA AGRO TAHAP I TAHUN 2020 SERI B","SUKUK","PT. SAMPOERNA AGRO, Tbk",2020-03-04,2025-03-03,9.75,"FIXED","3 MONTHS",1.25e+11,"PLANTATION",1.25e+11,4.99657768651609
"37",2023-01-31,"SISGRO01BCN2","SUKUK IJARAH BERKELANJUTAN I SAMPOERNA AGRO TAHAP II TAHUN 2021 SERI B","SUKUK","PT. SAMPOERNA AGRO, Tbk",2021-03-18,2026-03-17,10.35,"FIXED","3 MONTHS",1.5825e+11,"PLANTATION",1.5825e+11,4.99657768651609
"38",2023-01-31,"SISGRO01BCN3","SUKUK IJARAH BERKELANJUTAN I SAMPOERNA AGRO TAHAP III TAHUN 2022 SERI B","SUKUK","PT. SAMPOERNA AGRO, Tbk",2022-03-04,2027-03-02,8.4,"FIXED","3 MONTHS",2.30115e+11,"PLANTATION",2.30115e+11,4.99383983572895
"39",2023-01-31,"SITINS01CN2","SUKUK IJARAH BERKELANJUTAN I TIMAH TAHAP II TAHUN 2019","SUKUK","TIMAH Tbk, PT",2019-08-16,2024-08-15,8.75,"FIXED","3 MONTHS",3.13e+11,"METAL AND MINERAL MINING",3.13e+11,4.99931553730322
"40",2023-01-31,"SMADMF03CCN2","SUK MDRBH BKLJT III ADIRA FINANCE THP II TH18 SR C","SUKUK","ADIRA DINAMIKA MULTI FINANCE Tbk, PT",2018-03-22,2023-03-21,1,"FLOATING","3 MONTHS",2.9e+10,"FINANCIAL INSTITUTION",2.9e+10,4.99657768651609
"41",2023-01-31,"SMSMII01BCN1","SUKUK MUDHARABAH BKLJT I SMI THP I TH18 SR B","SUKUK","SARANA MULTI INFRASTRUKTUR (PERSERO), PT",2018-07-09,2023-07-06,1,"FLOATING","3 MONTHS",3.2e+11,"FINANCIAL INSTITUTION",3.2e+11,4.99110198494182
"42",2023-01-31,"SWMEDP01ACN1","SUKUK WAKALAH BERKELANJUTAN I MEDCO POWER INDONESIA TAHAP I TAHUN 2022 SERI A","SUKUK","MEDCO POWER INDONESIA, PT",2022-08-05,2025-08-04,8,"FIXED","3 MONTHS",2.8e+11,"ENERGY",2.8e+11,2.99794661190965
"43",2023-01-31,"SWMEDP01ACN2","SUKUK WAKALAH BERKELANJUTAN I MEDCO POWER INDONESIA TAHAP II TAHUN 2022 SERI A","SUKUK","MEDCO POWER INDONESIA, PT",2023-01-02,2025-12-30,9,"FIXED","3 MONTHS",4.6969e+11,"ENERGY",4.6969e+11,2.99247091033539
"44",2023-01-31,"SWMEDP01B","SUK WAKALAH MEDCO POWER INDONESIA I TH 2018 SERI B","SUKUK","MEDCO POWER INDONESIA, PT",2018-07-05,2023-07-04,10.25,"FIXED","3 MONTHS",4.04e+11,"ENERGY",4.04e+11,4.99657768651609
"45",2023-01-31,"SWMEDP01BCN1","SUKUK WAKALAH BERKELANJUTAN I MEDCO POWER INDONESIA TAHAP I TAHUN 2022 SERI B","SUKUK","MEDCO POWER INDONESIA, PT",2022-08-05,2027-08-04,9.25,"FIXED","3 MONTHS",2.2e+11,"ENERGY",2.2e+11,4.99657768651609
"46",2023-01-31,"SWMEDP01BCN2","SUKUK WAKALAH BERKELANJUTAN I MEDCO POWER INDONESIA TAHAP II TAHUN 2022 SERI B","SUKUK","MEDCO POWER INDONESIA, PT",2023-01-02,2027-12-30,9.5,"FIXED","3 MONTHS",1.3031e+11,"ENERGY",1.3031e+11,4.99110198494182
"47",2023-01-31,"SWMEDP01C","SUK WAKALAH MEDCO POWER INDONESIA I TH 2018 SERI C","SUKUK","MEDCO POWER INDONESIA, PT",2018-07-05,2025-07-04,10.75,"FIXED","3 MONTHS",4.3e+10,"ENERGY",4.3e+10,6.99794661190965
"48",2023-01-31,"SWMEDP02B","SUKUK WAKALAH MEDCO POWER INDONESIA II TAHUN 2019 SERI B","SUKUK","MEDCO POWER INDONESIA, PT",2019-05-24,2024-05-23,10.55,"FIXED","3 MONTHS",7e+09,"ENERGY",7e+09,4.99931553730322
"49",2023-01-31,"SWMEDP02C","SUKUK WAKALAH MEDCO POWER INDONESIA II TAHUN 2019 SERI C","SUKUK","MEDCO POWER INDONESIA, PT",2019-05-24,2026-05-23,11.1,"FIXED","3 MONTHS",1.03e+10,"ENERGY",1.03e+10,6.99794661190965
"50",2023-01-31,"SWMNMN01A","SUKUK WAKALAH I PT MITRA NIAGA MADANI SERI A","SUKUK","MITRA NIAGA MADANI, PT",2023-01-31,2024-02-08,10.25,"Fixed","3 MONTHS",3.92e+11,"OTHERS - TRADE, SERVICES & INVESTMENT",3.92e+11,1.02121834360027
"51",2023-01-31,"IFR0006","SBSN SERI IFR0006","SBSN","PEMERINTAH REPUBLIK INDONESIA",2010-04-05,2030-03-15,10.25,"FIXED","SEMI-ANNUAL",2.175e+12,"GOVERNMENT",4.2e+10,19.9425051334702
"52",2023-01-31,"IFR0010","SBSN SERI IFR0010","SBSN","PEMERINTAH REPUBLIK INDONESIA",2011-03-04,2036-02-15,10,"FIXED","SEMI-ANNUAL",4.11e+12,"GOVERNMENT",1.6749e+10,24.952772073922
"53",2023-01-31,"PBS003","SBSN SERI PBS003","SBSN","PEMERINTAH REPUBLIK INDONESIA",2012-02-03,2027-01-15,6,"FIXED","SEMI-ANNUAL",3.786e+12,"GOVERNMENT",1.493331e+12,14.9486652977413
"54",2023-01-31,"PBS004","SBSN SERI PBS004","SBSN","PEMERINTAH REPUBLIK INDONESIA",2012-02-17,2037-02-15,6.1,"FIXED","SEMI-ANNUAL",1.0149e+13,"GOVERNMENT",1.891391e+12,24.9965776865161
"55",2023-01-31,"PBS005","SBSN SERI PBS005","SBSN","PEMERINTAH REPUBLIK INDONESIA",2013-05-03,2043-04-15,6.75,"FIXED","SEMI-ANNUAL",9.934e+12,"GOVERNMENT",7.298245e+12,29.9493497604381
"56",2023-01-31,"PBS007","SBSN SERI PBS007","SBSN","PEMERINTAH REPUBLIK INDONESIA",2014-10-01,2040-09-15,9,"FIXED","SEMI-ANNUAL",7.525e+12,"GOVERNMENT",1.2869e+10,25.9575633127995
"57",2023-01-31,"PBS011","SBSN Seri PBS011","SBSN","PEMERINTAH REPUBLIK INDONESIA",2016-01-15,2023-08-15,8.75,"FIXED","SEMI-ANNUAL",1.0545e+13,"GOVERNMENT",1.62528e+11,7.58110882956879
"58",2023-01-31,"PBS012","SBSN Seri PBS012","SBSN","PEMERINTAH REPUBLIK INDONESIA",2016-01-29,2031-11-15,8.875,"FIXED","SEMI-ANNUAL",2.0315e+13,"GOVERNMENT",3.912345e+12,15.7946611909651
"59",2023-01-31,"PBS015","SBSN Seri PBS015","SBSN","PEMERINTAH REPUBLIK INDONESIA",2017-07-24,2047-07-15,8,"FIXED","SEMI-ANNUAL",2.5e+11,"GOVERNMENT",9.33796e+12,29.9739904175222
"60",2023-01-31,"PBS017","SBSN Seri PBS017","SBSN","PEMERINTAH REPUBLIK INDONESIA",2018-01-12,2025-10-15,6.125,"FIXED","SEMI-ANNUAL",2.57e+12,"GOVERNMENT",7.89992e+11,7.75633127994524
"61",2023-01-31,"PBS018","SBSN Seri PBS018","SBSN","PEMERINTAH REPUBLIK INDONESIA",2018-06-06,2028-05-15,7.625,"FIXED","SEMI-ANNUAL",2e+12,"GOVERNMENT",7.5e+12,9.94113620807666
"62",2023-01-31,"PBS019","SBSN Seri PBS019","SBSN","PEMERINTAH REPUBLIK INDONESIA",2018-10-05,2023-09-15,8.25,"Fixed","SEMI-ANNUAL",6.5e+10,"GOVERNMENT",1.7317e+10,4.94455852156057
"63",2023-01-31,"PBS020","SBSN Seri PBS020","SBSN","PEMERINTAH REPUBLIK INDONESIA",2018-10-23,2027-10-15,9,"Fixed","SEMI-ANNUAL",1e+12,"GOVERNMENT",1.1e+12,8.97741273100616
"64",2023-01-31,"PBS021","SBSN Seri PBS021","SBSN","PEMERINTAH REPUBLIK INDONESIA",2018-12-06,2026-11-15,8.5,"Fixed","SEMI-ANNUAL",1.5e+12,"GOVERNMENT",4.8377e+12,7.94250513347023
"65",2023-01-31,"PBS022","SBSN Seri PBS022","SBSN","PEMERINTAH REPUBLIK INDONESIA",2019-01-25,2034-04-15,8.625,"Fixed","SEMI-ANNUAL",3.4e+11,"GOVERNMENT",2.61945e+12,15.2197125256674
"66",2023-01-31,"PBS023","SBSN Seri PBS023","SBSN","PEMERINTAH REPUBLIK INDONESIA",2019-05-16,2030-05-15,8.125,"Fixed","SEMI-ANNUAL",3e+12,"GOVERNMENT",3.0892e+12,10.9979466119097
"67",2023-01-31,"PBS024","SBSN Seri PBS024","SBSN","PEMERINTAH REPUBLIK INDONESIA",2019-05-29,2032-05-15,8.375,"Fixed","SEMI-ANNUAL",1.5e+12,"GOVERNMENT",1.7e+12,12.9637234770705
"68",2023-01-31,"PBS025","SBSN Seri PBS025","SBSN","PEMERINTAH REPUBLIK INDONESIA",2019-05-31,2033-05-15,8.375,"FIXED","SEMI-ANNUAL",6e+12,"GOVERNMENT",2.553525e+12,13.9575633127995
"69",2023-01-31,"PBS026","SBSN Seri PBS026","SBSN","PEMERINTAH REPUBLIK INDONESIA",2019-10-18,2024-10-15,6.625,"Fixed","SEMI-ANNUAL",2.65e+12,"GOVERNMENT",2.03813e+11,4.99383983572895
"70",2023-01-31,"PBS027","SBSN Seri PBS027","SBSN","PEMERINTAH REPUBLIK INDONESIA",2020-05-05,2023-05-15,6.5,"FIXED","SEMI-ANNUAL",4.5619e+12,"GOVERNMENT",4.39688e+11,3.02532511978097
"71",2023-01-31,"PBS028","SBSN Seri PBS028","SBSN","PEMERINTAH REPUBLIK INDONESIA",2020-07-24,2046-10-15,7.75,"FIXED","SEMI-ANNUAL",5.25e+12,"GOVERNMENT",1.1689304e+13,26.2258726899384
"72",2023-01-31,"PBS029","SBSN Seri PBS029","SBSN","PEMERINTAH REPUBLIK INDONESIA",2021-01-15,2034-03-15,6.375,"FIXED","SEMI-ANNUAL",4.65e+12,"GOVERNMENT",4.601726e+12,13.160848733744
"73",2023-01-31,"PBS030","SBSN Seri PBS030","SBSN","PEMERINTAH REPUBLIK INDONESIA",2021-06-07,2028-07-15,5.875,"FIXED","SEMI-ANNUAL",3.5e+11,"GOVERNMENT",1.21971e+11,7.1047227926078
"74",2023-01-31,"PBS031","SBSN Seri PBS031","SBSN","PEMERINTAH REPUBLIK INDONESIA",2021-07-30,2024-07-15,4,"FIXED","SEMI-ANNUAL",5e+12,"GOVERNMENT",8.47619e+11,2.9596167008898
"75",2023-01-31,"PBS032","SBSN Seri PBS032","SBSN","PEMERINTAH REPUBLIK INDONESIA",2021-07-30,2026-07-15,4.875,"FIXED","SEMI-ANNUAL",4.35e+12,"GOVERNMENT",2.27904e+11,4.95824777549624
"76",2023-01-31,"PBS033","SBSN Seri PBS033","SBSN","PEMERINTAH REPUBLIK INDONESIA",2022-01-14,2047-06-15,6.75,"FIXED","SEMI-ANNUAL",3.5e+11,"GOVERNMENT",4.32241e+11,25.4154688569473
"77",2023-01-31,"PBS034","SBSN Seri PBS034","SBSN","PEMERINTAH REPUBLIK INDONESIA",2022-01-14,2039-06-15,6.5,"FIXED","SEMI-ANNUAL",3.5e+11,"GOVERNMENT",8.59e+10,17.4154688569473
"78",2023-01-31,"PBS035","SBSN Seri PBS035","SBSN","PEMERINTAH REPUBLIK INDONESIA",2022-03-31,2042-03-15,6.75,"FIXED","SEMI-ANNUAL",2.5664e+10,"GOVERNMENT",3.4962e+10,19.9561943874059
"79",2023-01-31,"PBS036","SBSN Seri PBS036","SBSN","PEMERINTAH REPUBLIK INDONESIA",2022-08-26,2025-08-15,5.375,"FIXED","SEMI-ANNUAL",4.05e+12,"GOVERNMENT",3.19572e+11,2.97056810403833
"80",2023-01-31,"PBS037","SBSN Seri PBS037","SBSN","PEMERINTAH REPUBLIK INDONESIA",2023-01-13,2036-03-15,6.875,"FIXED","SEMI-ANNUAL",1.65e+12,"GOVERNMENT",8.59e+10,13.1690622861054
"81",2023-01-31,"PBSG001","SBSN Seri PBSG001","SBSN","PEMERINTAH REPUBLIK INDONESIA",2022-09-23,2029-09-15,6.625,"FIXED","SEMI-ANNUAL",4.4e+12,"GOVERNMENT",2.5e+10,6.97878165639973
"82",2023-01-31,"SR012","SUKUK NEGARA RITEL SERI SR-012","SBSN","PEMERINTAH REPUBLIK INDONESIA",2020-03-27,2023-03-10,6.3,"FIXED","MONTHLY",1.21426e+13,"GOVERNMENT",2.872231e+12,2.95140314852841
"83",2023-01-31,"SR013","SUKUK NEGARA RITEL SERI SR-013","SBSN","PEMERINTAH REPUBLIK INDONESIA",2020-10-01,2023-09-10,6.05,"FIXED","MONTHLY",2.5666e+13,"GOVERNMENT",5.811542e+12,2.94045174537988
"84",2023-01-31,"SR014","SUKUK NEGARA RITEL SERI SR-014","SBSN","PEMERINTAH REPUBLIK INDONESIA",2021-03-25,2024-03-10,5.47,"FIXED","MONTHLY",1.67051e+13,"GOVERNMENT",5.274088e+12,2.9596167008898
"85",2023-01-31,"SR015","SUKUK NEGARA RITEL SERI SR-015","SBSN","PEMERINTAH REPUBLIK INDONESIA",2021-09-23,2024-09-10,5.1,"FIXED","MONTHLY",2.70006e+13,"GOVERNMENT",8.744478e+12,2.96509240246407
"86",2023-01-31,"SR016","SUKUK NEGARA RITEL SERI SR-016","SBSN","PEMERINTAH REPUBLIK INDONESIA",2022-03-24,2025-03-10,4.95,"FIXED","MONTHLY",1.84095e+13,"GOVERNMENT",9.419934e+12,2.96235455167693
"87",2023-01-31,"SR017","SUKUK NEGARA RITEL SERI SR-017","SBSN","PEMERINTAH REPUBLIK INDONESIA",2022-09-22,2025-09-10,5.9,"FIXED","MONTHLY",2.6975e+13,"GOVERNMENT",1.3155464e+13,2.9678302532512
"88",2023-01-31,"ABGR01XXSCFS","SUKUK YANG DITAWARKAN MELALUI LAYANAN URUN DANA 1 PT ANANTA BANGUN GRAHA TAHUN 2022","SUKUK CROWD FUNDING","ANANTA BANGUN GRAHA, PT",2023-01-31,2023-02-19,0,"Floating/Variable","SPECIFIC DATE",2.924e+09,"TELECOMUNICATION",3.24e+08,0.0520191649555099
"89",2023-01-31,"ARRA01XXSCFS","SUKUK YANG DITAWARKAN MELALUI LAYANAN URUN DANA 1 PT ARRA BUSANA MUSLIM TAHUN 2022","SUKUK CROWD FUNDING","ARRA BUSANA MUSLIM, PT",2023-01-31,2023-05-23,0,"Floating/Variable","SPECIFIC DATE",3e+09,"TEXTILE, GARMENT",3e+09,0.306639288158795
"90",2023-01-31,"ASTK01XXSCFS","SUKUK YANG DITAWARKAN MELALUI LAYANAN URUN DANA 1 PT ATMA ADHISARANA TEKNOLOGI TAHUN 2022","SUKUK CROWD FUNDING","ATMA ADHISARANA TEKNOLOGI, PT",2023-01-31,2023-03-21,0,"Floating/Variable","SPECIFIC DATE",6e+08,"TELECOMUNICATION",6e+08,0.134154688569473
"91",2023-01-31,"ASTK02XXSCFS","SUKUK YANG DITAWARKAN MELALUI LAYANAN URUN DANA 2 PT ATMA ADHISARANA TEKNOLOGI TAHUN 2022","SUKUK CROWD FUNDING","ATMA ADHISARANA TEKNOLOGI, PT",2023-01-31,2023-06-18,0,"Floating/Variable","SPECIFIC DATE",3.47e+08,"TELECOMUNICATION",3.47e+08,0.37782340862423
"92",2023-01-31,"BINS01X3SCFS","SUKUK YANG DITAWARKAN MELALUI LAYANAN URUN DANA PT. BANGUN INFRA NUSANTARA TAHUN 2022 - TAHAP 3","SUKUK CROWD FUNDING","BANGUN INFRA NUSANTARA, PT",2023-01-31,2023-02-15,0,"Floating/Variable","SPECIFIC DATE",642400000,"TELECOMUNICATION",38974391,0.0410677618069815
"93",2023-01-31,"BINS01X4SCFS","SUKUK YANG DITAWARKAN MELALUI LAYANAN URUN DANA PT BANGUN INFRA NUSANTARA TAHUN 2022 - TAHAP 4","SUKUK CROWD FUNDING","BANGUN INFRA NUSANTARA, PT",2023-01-31,2023-02-20,0,"FLOATING","SPECIFIC DATE",651300000,"TELECOMUNICATION",280170000,0.054757015742642
